source_code,concept_name
kg^kg,kilogram
AO,Angstrom
MM/HR,millimeter per hour
2327,micromole per liter
15070,billion per liter
ML.MIN1.73M2,milliliter per minute per 1.73 square meter
MMOL/D,millimole per 24 hours
xxxIU/mL,international unit per milliliter
15081,billion per liter
in br/min,inch (British)
Units/ml,unit per milliliter
thous/mcl,thousand per microliter
14945,billion per liter
k[IU]/mL,kilo-international unit per milliliter
{MG/DL_CALC},milligram per deciliter calculated
polys/LPF,per low powered field
cu um,microliter
NG A1/ML/HOUR,nanogram per milliliter and hour
12145,day
uIu/ml,micro-international unit per milliliter
bill/L,billion per liter
MCG/DL (CALC),microgram per deciliter
nmol/mL,nanomole per milliliter
MICROMOL/L,micromole per liter
X10~3/UL.,thousand per microliter
#/uL,per microliter
930,microgram of fibrinogen equivalent unit per milliliter
{CAG_repeats},Generic unit for indivisible thing
mU/L,milliunit per liter
20330,degree Fahrenheit
MG/G C,milligram per gram of creatinine
10296,nanomole per millimole
6229,billion per liter
ug/(24.h),microgram per 24 hours
Celcius,degree Celsius
3091,gram percent
RPM,counts per minute
14970,billion per liter
gm/day,gram per 24 hours
Million/mm3,million per cubic millimeter
NG ANGIO,nanogram
per week,per week
GPL-U/mL,IgG phospholipid unit per milliliter
CFU/ml,colony forming unit per milliliter
UMOL/G CR,micromole per gram of creatinine
15123,billion per liter
M??,square meter
SQ M,square meter
ml/mm3,million per cubic millimeter
10^9/L,billion per liter
yrs,year
mIU/ml,milli-international unit per milliliter
MG {FEU}/L,milligram of fibrinogen equivalent unit per liter
ERY/UL,erythrocytes per microliter
ML/MIN/1.73_SQ_MET,milliliter per minute per 1.73 square meter
x 10^3/uL,thousand per microliter
% CV,ratio
1705,Juvenile Diabetes Foundation unit
6286,milli-international unit
mg/24 hours,milligram per 24 hours
14841,billion per liter
per cu mm,per cubic millimeter
10208,milligram per liter
ML/MIN/1.7.3M2,milliliter per minute per 1.73 square meter
gm,gram
18949,billion per liter
?IU/ML,international unit per milliliter
[10*3/UL],thousand per microliter
[IU]/mL,international unit per milliliter
{M/UL},million per microliter
10270,nanomole of bone collagen equivalent
THS/UL,thousand per microliter
mcg/24h,microgram per 24 hours
{Score},score
9837,billion per liter
{GM/DL},gram per deciliter
MCILU/ML,micro-international unit per milliliter
PER 100 WBC,per 100 white blood cells
lb,pound (US)
11296,counts per minute
SD,score
mg/LFEU,milligram of fibrinogen equivalent unit per liter
count/mL,per milliliter
Thousand/uL,thousand per microliter
G^G^UCUM,gram
md/dL,milligram per deciliter
g/ml,gram per milliliter
 mg/g,milligram per gram
KPA,kilopascal
FEUng/mL,nanogram of fibrinogen equivalent unit per milliliter
G/dL,gram per deciliter
G/DL,gram per deciliter
 ng/mL,nanogram per milliliter
minute(s),minute
ML/MIN/1.73AQM,milliliter per minute per 1.73 square meter
2573,nanogram per deciliter
x Thou/uL,thousand per microliter
HPF,per high power field
MOS/KG,milliosmole per kilogram
THOU/uL,thousand per microliter
ML/IN/1.73M2,milliliter per minute per 1.73 square meter
MINT UNITS/ML,unit per milliliter
mm in one hour,millimeter per hour
MG/MIN/1.73,milliliter per minute per 1.73 square meter
{MLS/MIN/1.73_M2},milliliter per minute per 1.73 square meter
[IU]/(24.h),international unit per 24 hours
umol/mmol,micromole per millimole
120,per 24 hours
15094,billion per liter
155,international unit per milliliter
232,nanogram per liter
677,unit
μU/mL,microunit per milliliter
GM /DL,gram per deciliter
3377,unit per liter
14974,billion per liter
4129,billion per liter
oz,ounce (avoirdupois)
mcg/dL (calc),microgram per deciliter
2318,stone
/[HPF]per high power fieldUCUM,per high power field
ug/mL(g),microgram per milliliter
10(6)/MCL,million per microliter
umol/g Cr,micromole per gram of creatinine
ML\MIN\1.73SQM,milliliter per minute per 1.73 square meter
mmhg,millimeter mercury column
Thousand/u,thousand per microliter
 mcg/L,microgram per liter
ML/MIN/1.73 sqm,milliliter per minute per 1.73 square meter
HB,percent hemoglobin A1c
Eu/mL,ELISA unit per milliliter
x10e3/uL,thousand per microliter
IU/ML^IU/ML^UCUM,international unit per milliliter
COUNT,cells
MG/G/CREAT,milligram per gram of creatinine
X 10(3)/UL,thousand per microliter
inspecttime,hour
K/MME,thousand per cubic millimeter
g/cm2,gram per square centimeter
1023,nanomole per 24 hours
10(3)MCL,thousand per microliter
ML/MIN/1.73 METERS SQUARED,milliliter per minute per 1.73 square meter
x10(6)/uL,million per microliter
mL/min/1.73m2,milliliter per minute per 1.73 square meter
14982,billion per liter
mmoI/L,millimole per liter
OD ratio,O.D. ratio
PG/COLL,picogram per cell
u/dl,unit per deciliter
per 100 WBC's,per 100 white blood cells
SECONDS^SECONDS,second
nmol BCE/mmol c,nanomole of bone collagen equivalent per millimole of creatinine
TODD U,Todd unit
X 10*3,thousand
X 106/UL,million per microliter
MMOL/MOL CREAT,millimole per mole of creatinine
UG,microgram
% binding inhib,percent inhibition
FT,foot (US)
{THOUS/CMM},thousand per cubic millimeter
AVG#/LPF,per low powered field
GPL-U/ML,IgG phospholipid unit per milliliter
291,per week
PH,pH
{TH/MM3},thousand per cubic millimeter
ML/MIN/.73M2,milliliter per minute per 1.73 square meter
MMOL/24 HR,millimole per 24 hours
X10^3/MCL,thousand per microliter
4761,ratio
[arb'U]/L,arbitrary unit per liter
"ML/MIN/1,73M2",milliliter per minute per 1.73 square meter
{SECS},second
1974,millimeter per hour
X10*6/MCL,million per microliter
413,trillion per liter
mcmol/24Hr,micromole per 24 hours
U/g Hgb,unit per gram of hemoglobin
nmol/gHb/hr,nanomole per hour and gram
NG/ML/HR,nanogram per milliliter and hour
ML/MIN/1.73M2Q,milliliter per minute per 1.73 square meter
mmol/mol Hb,millimole per mole of hemoglobin
MCG/24HRS,microgram per 24 hours
% BINDING INHIBITION,percent inhibition
351,milliliter per minute per 1.73 square meter
14920,billion per liter
uIU/mL,micro-international unit per milliliter
uG/DL,microgram per deciliter
{X10E9/L},billion per liter
839,liter
ml/24 HR,milliliter per 24 hours
mU/mL,milliunit per milliliter
ML/MIN/1.73M???,milliliter per minute per 1.73 square meter
MG/DL CALC,milligram per deciliter calculated
ML/MIN/1.732,milliliter per minute per 1.73 square meter
PICOGRAMS,picogram
g/Time,gram per time
7694,milligram per liter
MG/GCREAT,milligram per gram of creatinine
kcal/(24.h),per 24 hours
ug Eq/mL,microgram equivalent per milliliter
mL/min1.73,milliliter per minute per 1.73 square meter
ng/ML,nanogram per milliliter
L/s,per second
1953,nanomole
mm,millimeter
PH UNITS,pH
{MMHG},millimeter mercury column
/100 WBCS^/100 WBC,per 100 white blood cells
cell/mm3,cells per cubic millimeter
m[IU]/mL,milli-international unit per milliliter
X10EXP9/L,billion per liter
U/ML RBC,unit per milliliter
X 10^3,thousand
10-3/UL,thousandth per microliter
13708,inch (US)
PER CMM,per cubic millimeter
E.U./dl,Ehrlich unit per deciliter
mcInt Units/mL,micro-international unit per milliliter
3426,international unit per liter
{M\UL},million per microliter
nmol/l,nanomole per liter
X10\^6/UL,million per microliter
ug/g{creat},microgram per gram of creatinine
nmol/24h,nanomole per 24 hours
*10^9/l,billion per liter
10(3)/UL,thousand per microliter
1825,million per microliter
14826,billion per liter
Beats Per Minute,counts per minute
x10e3/microL,thousand per microliter
THOUSAND/MICROLITE,thousand per microliter
1386,international unit
{ML/MIN},milliliter per minute
mL/24 hr,milliliter per 24 hours
6219,billion per liter
{OD_unit},O.D. unit
20154,billion per liter
LogIU/ml,log international unit per milliliter
NM BCE/MM CREAT,bone collagen equivalent per millimole of creatinine
ML/MIN/1.732M2,milliliter per minute per 1.73 square meter
10X6/uL,million per microliter
MG/24HRS.,milligram per 24 hours
PMOL/8X 10E8,picomole per eight times 10 to the 8th red blood cells
{ELISA'U}/mL,ELISA unit per milliliter
X1000000/mm3,million per cubic millimeter
{SECONDS},second
13985,billion per liter
counts/L,per liter
L/DAY,liter per 24 hours
4784,EIA unit
X10E6/UL,million per microliter
/?L,per liter
%SAT,percent saturation
11217,billion per liter
359,kilogram per square meter
PICOGR,picogram
10 ^9/l,billion per liter
K,thousand
{MCG/MIN},microgram per minute
12151,billion per liter
{1000/MM3},thousand per cubic millimeter
PER/LPF,per low powered field
X10/6 /UL,million per microliter
IntUnit/mL,international unit per milliliter
585,billion per liter
CL/MCL,cells per microliter
178,milligram
VOL% O2,volume percent
% of Lymph,percent of lymphocytes
364,femtoliter
ug/g of stool,microgram per gram
ML/MINUTE,milliliter per minute
EU/ml,Ehrlich unit per milliliter
mls/min/1.73  2,milliliter per minute per 1.73 square meter
UNITS/LITE,unit per liter
mOsm/k,milliosmole per kilogram
10035,milliliter per minute
MCG/24HR,microgram per 24 hours
106/UL,million per microliter
ng{FEU}/mL,nanogram of fibrinogen equivalent unit per milliliter
mmol/24 Hr,millimole per 24 hours
x10E6/ul,million per microliter
{%_SATURATION},percent saturation
{X_10_6},million
/mcl,per microliter
248,per month
963,millimeter per hour
% RELEASE,percent
381,degree Celsius
meq/l,milliequivalent per liter
million/mm3,million per cubic millimeter
872,micromole per 24 hours
mg/g creat,milligram per gram of creatinine
X 103,thousand
sheet,Generic unit for indivisible thing
"""X10""""3/UL""",thousand per microliter
µg/mL,microgram per milliliter
MMOLE/LITER,millimole per liter
UMOL.L,micromole per liter
MM/HG,millimeter mercury column
YEARS,year
G/DL (CALC),gram per deciliter calculated
{G/DL},gram per deciliter
[GPL'U],IgG phospholipid unit
{G/DL(CALC)},gram per deciliter calculated
?IU/mL,micro-international unit per milliliter
ML/MOIN 1.73 M2,milliliter per minute per 1.73 square meter
Thous/MCL,thousand per microliter
10 3/uL,thousand per microliter
14824,billion per liter
THO/CUMM,thousand per cubic millimeter
ML/MIN?1.73M2,milliliter per minute per 1.73 square meter
miu/ml,milli-international unit per milliliter
1,Generic unit for indivisible thing
 mL/min,milliliter per minute
??????IU??????/L,international unit per liter
% BINDING INHIBITI,percent binding
H,hour
MCG/ML_FEU,microgram of fibrinogen equivalent unit per milliliter
13997,billion per liter
18800,milligram per deciliter
10*6 U/mL,Million unit per milliliter
M,minute
COUNTS/M,counts per minute
mL/min/1.73 meters squared,milliliter per minute per 1.73 square meter
886,milliliter per minute per 1.73 square meter
ML/MIN/1.73 SQ M,milliliter per minute per 1.73 square meter
MM??????HG??????,millimeter mercury column
ML/MIN/1.7,milliliter per minute per 1.73 square meter
OF T,percent
 mg/dl,milligram per deciliter
LYME INDEX VALUE,lyme index value
GRAMS/DECILITER,gram per deciliter
UIU/M,micro-international unit per milliliter
MLMIN/1.73 SQ.M,milliliter per minute per 1.73 square meter
Sec(s),second
{HPF},per high power field
ng/mL ATP,nanogram per milliliter
14873,billion per liter
982,trillion per liter
386,micromole per deciliter
UMOL / MOL HEME,micromole per mole of hemoglobin
UG/ML[FEU],microgram of fibrinogen equivalent unit per milliliter
UG/MGCR,microgram per milligram of creatinine
k/ul,thousand per microliter
10286,milliliter per minute
g/dl%,gram per deciliter
Million/Ejac,million per specimen
ML/MIN/1.783M2,milliliter per minute per 1.73 square meter
cubic mm,cubic millimeter
% total Hb,percent hemoglobin
1521,milliosmole per kilogram
UG/D,microgram per deciliter
MMOL,millimole
[ARBU]/ML,arbitrary unit per milliliter
ug/24h,microgram per 24 hours
%_BASELINE,percent baseline
THOUSAND/UL,thousand per microliter
AVG#/HPF,per high power field
299,week
ML/MINPER1.73 M2,milliliter per minute per 1.73 square meter
ug/(24.H),microgram per 24 hours
U/mL{RBCs},unit per milliliter of red blood cells
MMO1/L,millimole per liter
ml/min/1.73 sqM,milliliter per minute per 1.73 square meter
MEQ/LITER,milliequivalent per liter
ML/MIN/17.3M^2,milliliter per minute per 1.73 square meter
b/m,counts per minute
Picogram/Mililiter,picogram per milliliter
4615,nanogram per milliliter
13968,billion per liter
UG/MLFEU,microgram of fibrinogen equivalent unit per milliliter
[IU]/Linternational unit per literUCUM,international unit per liter
14986,billion per liter
{10*3/UL_THOUSAND_,thousand per microliter
4749,unit per milliliter
10X3,thousand
MEQ\L,milliequivalent per liter
WBCS,cells
dils,titer
CENTIPOISE,centipoise
NG.ML,nanogram per milliliter
per hpf,per high power field
uM/min/g prot,micromole per minute and gram
PMOL/8X10(8)RBC,picomole per eight times 10 to the 8th red blood cells
Log copies/ml,log copies per milliliter
9979,micromole per hour and liter
NM BCE/MM CR,nanomole of bone collagen equivalent per millimole of creatinine
30 MG / DL,milligram per deciliter
10e12/L,trillion per liter
 u/mL,unit per milliliter
nmol/mol{creat},nanomole per mole of creatinine
Mil/uL,million per microliter
mmol/24 hrs,millimole per 24 hours
mmol/L,millimole per liter
3023,gram per deciliter
6698,billion per liter
BPM,counts per minute
2346,risk
15309,Elisa unit
G/1.73M2,milliliter per minute per 1.73 square meter
6670,billion per liter
G/DL (%),gram per deciliter
391,million per liter
#/HPF,per high power field
12584,milliliter per minute per 1.73 square meter
deg F,degree Fahrenheit
mG/DL,milligram per deciliter
pg-mL,picogram per milliliter
/CMM,per cubic millimeter
hfrate || 1,counts per minute
UG/ML FEUS,microgram of fibrinogen equivalent unit per milliliter
2293,picogram per milliliter
{MEQ/L},milliequivalent per liter
14993,billion per liter
1308,cubic millimeter
mV,bel millivolt
counts,Generic unit for indivisible thing
10293,milliosmole per kilogram of H20
m/(6.min),meter
% STD HBA1C,percent hemoglobin A1c
KU/L,kilounit per liter
MPS U/ML,anti-phosphatidylserine IgM concentration (MPS) unit per milliliter
14848,billion per liter
UG/24H,microgram per 24 hours
mg/gm Cr,milligram per gram of creatinine
ng/gm,nanogram per gram
{MOS/KG},milliosmole per kilogram
uiu/ml,micro-international unit per milliliter
uI/mL,unit per milliliter
14897,billion per liter
ML/MIN/173 M2,milliliter per minute per 1.73 square meter
3100,billion per liter
score,score
million/ul,million per microliter
2952,milligram per 24 hours
mcUnits/mL,microunit per milliliter
1309,kilogram per square meter
microIU/ML,micro-international unit per milliliter
2.5 NG/ML,nanogram per milliliter
X(10)6/CUMM,million per cubic millimeter
degrees,degree
11559,per minute
umol/L,micromole per liter
in^in,square inch
MML/MIN/1.73M2,milliliter per minute per 1.73 square meter
10^3 counts,thousand
mmol/24h,millimole per 24 hours
188,milligram per millimole of creatinine
ml/min/1.73 m2,milliliter per minute per 1.73 square meter
X10E3UL,thousand per microliter
%{Total_Hgb},percent hemoglobin
15000,billion per liter
10642,milliequivalent per liter
17635,billion per liter
BETHESDA UNITS/ML,Bethesda unit per milliliter
nmol/g,nanomole per gram
TOTAL PROTEIN,percent total protein
cpy/mL,copies per milliliter
mg/mg Creat,milligram per milligram of creatinine
2597,billion per liter
Wood units,wood unit
14918,billion per liter
{THOUS/CUMM},thousand per cubic millimeter
Gm,gram
fim_admittingweight2,kilogram
9920,milliliter
G/DL  S*,gram per deciliter
mL/min/BSA,milliliter per minute per 1.73 square meter
20704,copies per milliliter
%     S*,percent
cm/s,centimeter per second
203,milliliter per minute per 1.73 square meter
[Beth'U],Bethesda unit
CALC.,calculated
14997,billion per liter
707,trillion per liter
10E3/UL,thousand per microliter
>=300 MG /DL,milligram per deciliter
10*3/µL,thousand per microliter
Units/mL,unit per milliliter
mu/L,milliunit per liter
2561,degree Celsius
{Cells}/uL,cells per microliter
14975,billion per liter
mL/min/1.73sqm,milliliter per minute per 1.73 square meter
mg{FEU}/L,milligram of fibrinogen equivalent unit per liter
ug/spec,microgram per specimen
2704,million per milliliter
mm^3,cubic millimeter
Degrees,degree
NMOL/HR/ML,nanomole per hour and milliliter
micromol/L,micromole per liter
2391,millimeter mercury column
µM,micromole
FIU,fluorescence intensity unit
%HB,percent hemoglobin A1c
ug/gCR,microgram per gram of creatinine
15065,billion per liter
weight,kilogram
U/day,unit per 24 hours
2098,pH
/100,per hundred
nmol/min/mL,nanomole per minute and milliliter
MMOL/.L,millimole per liter
>=1000 MG/DL,milligram per deciliter
MMOL/24 HOURS,millimole per 24 hours
MPL UNITS/mL,IgM phospholipid unit per milliliter
NMOL/D,nanomole per deciliter
15082,billion per liter
LOG10IU/ML,log international unit per milliliter
2300,gram per milliliter
% (CALC),percent calculated
%_OF_TOTAL_HGB,percent hemoglobin
THOU\E\uL,thousand per microliter
15072,billion per liter
14834,billion per liter
MI/MM3,million per cubic millimeter
ML/MIN/1.73MS2,milliliter per minute per 1.73 square meter
G-DL,gram per deciliter
CU MM,thousand per cubic millimeter
%{total},percent total
k/mcL,thousand per microliter
X10^3 CELLS/MCL,thousand per microliter
MILLIONS/MM3,million per cubic millimeter
x10^6,million
10*3*/UL,thousand per microliter
DEGF,degree Fahrenheit
S/C,signal to cutoff ratio
DNA copies/mL,copies per milliliter
IN/UL,international unit per liter
uG/L,microgram per liter
10�6/UL,million per microliter
mg/G Cr,milligram per gram of creatinine
{MCUNITS/ML},microunit per milliliter
KUa/L,thousand allergen-specific IgE antibody units per liter
/min,per minute
G DL,gram per deciliter
CPOISE,centipoise
198,micrometer
ng/Liter,nanogram per liter
G/24H,gram per 24 hours
k/L,thousand per liter
gm/dl,gram per deciliter
15033,billion per liter
g/DL,gram per deciliter
454,nanogram per milliliter
# /LPF,per low powered field
10^3/ML,thousand per milliliter
%{response},percent activity
ML/MIN/1.73BSA,milliliter per minute per 1.73 square meter
ML/MIN/1.73sq.m,milliliter per minute per 1.73 square meter
{NANOGRAM/DL},nanogram per deciliter
UNITS/L,unit per liter
10641,billion per liter
mUnits/L,milliunit per liter
cigars/day,per 24 hours
{MPS'U},anti-phosphatidylserine IgM concentration (MPS) unit
g/(5.h),gram per 5 hours
UUI/ML,micro-international unit per milliliter
fl,femtoliter
214,millimeter per hour
MG/MMOL CR,milligram per millimole of creatinine
MG/ML/1.73sq.m,milliliter per minute per 1.73 square meter
x10(3)/uL,thousand per microliter
Secs,second
15097,billion per liter
% VOL,volume percent
mL/24 Hrs,milliliter per 24 hours
MG/24 HOUR,milligram per 24 hours
ng/mL(D-Dimer Units),nanogram per milliliter
% THB,percent hemoglobin
UG/ML,microgram per milliliter
TH/CMM,thousand per cubic millimeter
15105,billion per liter
mo,month
uOsm/kg,milliosmole per kilogram
mmol/Lmillimole per literUCUM,millimole per liter
g/(24.h),gram per 24 hours
NG/MLFEU,nanogram of fibrinogen equivalent unit per milliliter
MICMOL/L,micromole per liter
10269,micromole per kilogram
3926,million per microliter
UNITS/DL,unit per deciliter
CELLS/uL x 1000,thousand per microliter
PICOGRAM,picogram
{ML/MIN/1.73SQ.M},milliliter per minute per 1.73 square meter
mls/min/1.73 m2,milliliter per minute per 1.73 square meter
ML/MIN/1.73MSQUARE,milliliter per minute per 1.73 square meter
SECOND(S),second
AU/mL,unit per milliliter
MB/GM CR,milligram per gram of creatinine
s/co ratio,signal to cutoff ratio
X1000/MM3,thousand per cubic millimeter
mcg/dL,microgram per deciliter
{MOM},multiple of the median
895,per milliliter
885,milliliter per minute
/100(WBCs),per 100 white blood cells
3/MCL,thousand per microliter
CM,centimeter
log10IU/mL,log international unit per milliliter
MG/ 24 HR,milligram per 24 hours
INCH,inch (international)
nmol/h/mL,nanomole per hour and milliliter
13546,percent
uiu/l,micro-international unit per liter
10274,gram per liter
mL/24 h,milliliter per 24 hours
6676,billion per liter
233,nanogram per milliliter
ug/day,microgram per 24 hours
[CFU]/ML,colony forming unit per milliliter
[arb'U]/mL,arbitrary unit per milliliter
6377,millimole per liter
14886,billion per liter
1173,per year
MPS IgM MPS IgM LB,anti-phosphatidylserine IgM concentration (MPS) unit
Index Valu,EIA unit
1286,times
mmol/mL,millimole per milliliter
mcunit/mL,microunit per milliliter
MG/DLK,milligram per deciliter
LB,pound (US)
ml/min/1.73m*2,milliliter per minute per 1.73 square meter
days,day
246,percent
MCG/GM CREAT,microgram per gram of creatinine
ng FEU/mL,nanogram of fibrinogen equivalent unit per milliliter
Mmol/L,millimole per liter
PG/ML^PG/ML,picogram per milliliter
122,centimeter
nmol/h/mg{protein},nanomole per hour and milligram
U/ml,unit per milliliter
16450,millimole per liter
WHO.IU/ML,international unit per milliliter
ML/24,milliliter per 24 hours
NG/MG CREAT,nanogram per milligram of creatinine
10 3/ul,thousand per microliter
{MILLIMETER},millimeter
14978,billion per liter
X 1.0 MILLION/U,million per microliter
MG/DL61,milligram per deciliter
4718,billion per liter
kg mmHg,kilogram
14053,billion per liter
MM3,thousand per cubic millimeter
MILLILITER,milliliter
{MG/GCREAT},milligram per gram of creatinine
X10(3)uL,thousand per microliter
MMOL/24,millimole per 24 hours
min,minute
NANOGRAM/ML/HR,nanogram per milliliter and hour
#/100 WBC,per 100 white blood cells
",L/MIM/1.73M2",milliliter per minute per 1.73 square meter
MCG/SPEC,microgram per specimen
X10\S\3/UL,thousand per microliter
MG24H,milligram per 24 hours
x10 6/uL,million per microliter
/[HPF],per high power field
{#/LPF},per low powered field
10?6 /uL,million per microliter
X10,number ten
NG/ML FEU,nanogram of fibrinogen equivalent unit per milliliter
UMOLL,micromole
NANOGRAMS/MILLILIT,nanogram per milliliter
1700,multiple of the median
2583,billion per liter
EU per dL,Ehrlich unit per deciliter
U/hr,unit per hour
gm/24 Hour,gram per 24 hours
10288,millimole per 24 hours
MUNIT/ML,milliunit per milliliter
X10^6/MM^2,million per cubic millimeter
/cu. mm,per cubic millimeter
INU/L,international unit per liter
MCG/ML^MCG/ML,microgram per milliliter
% ACTIVE,percent activity
15099,billion per liter
100 MG / DL,milligram per deciliter
 ml/min/1.73m2,milliliter per minute per 1.73 square meter
ML/ MIN/1.73,milliliter per minute per 1.73 square meter
THOUSANSDS/UL,thousand per microliter
mIL/Ul,million per microliter
log copies/mL,log copies per milliliter
% Positive,percent positive
pmol/mL,picomole per milliliter
IU/ml,international unit per milliliter
MMOL/24H,millimole per 24 hours
UG{FEU}/ML,microgram of fibrinogen equivalent unit per milliliter
2008,counts per minute
MGALB/GCR,milligram per gram of creatinine
cu micron,microliter
copies/mL,copies per milliliter
ML/MIN/1.473M2,milliliter per minute per 1.73 square meter
 uIU/mL,micro-international unit per milliliter
ML/MIN 173 M2,milliliter per minute per 1.73 square meter
871,gram per 24 hours
GPL U/mL,IgG phospholipid unit per milliliter
 MG/24 HR,milligram per 24 hours
10277,liter
U/l,unit per liter
 X(10)3/uL,thousand per microliter
cpm,counts per minute
G/DAY,gram per 24 hours
4536,nanomole per millimole
per/day,per 24 hours
797,cubic millimeter
mEq/L,milliequivalent per liter
mIu/mL,milli-international unit per milliliter
EU,Ehrlich unit
7943,billion per liter
164,liter per minute
[MPL'U],IgM phospholipid unit
1532,micromole per liter
copies/ml,copies per milliliter
13544,millimole per liter
UG FEU/ML,microgram of fibrinogen equivalent unit per milliliter
10/12L,trillion per liter
% (NGSP),percent hemoglobin A1c
425,milliequivalent per liter
X10'3/MICROL,thousand per microliter
L 02,liter
UMOL/GCR,micromole per gram of creatinine
SEC^SEC^UCUM,second
mmol-L,millimole per liter
MG HGB EQ/G,milligram per gram
2286,nanogram of fibrinogen equivalent unit per milliliter
1324,trillion per liter
X 10 /3 UL,thousand per microliter
IU/h,international unit per hour
RBC/HPF,red blood cells per high power field
est/hpf,per high power field
PG/mL,picogram per milliliter
"ML/MIN/1,73SQM",milliliter per minute per 1.73 square meter
MG MALB/G CREAT,milligram per gram of creatinine
8870,billion per liter
6668,billion per liter
?U/ML,unit per milliliter
20282,billion per liter
X10??3/UL,thousand per microliter
40MG,milligram
